Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
"Natalo ng Italya ang Portugal sa puntos na 31-5 sa Grupong C noong 2007 sa Pandaigdigang laro ng Ragbi sa Parc des Princes,",VB.* CC.* NN.* DT.* NN.* CC.* NN.* CC.* CD.* PM.* CD.* CC.* NN.*_CC.* NN.* RB.*_CC.* CD.* CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* FW NN.* PM.*,VBTS CCB NNP DTC NNP CCT NNC CCP CDB PMS CDB CCT NNP_CCP NNP RBW_CCP CDB CCT JJD_CCP NNC CCB NNP CCT NNP FW NNP PMC,"talo ng italya ang portugal sa puntos na 31-5 sa grupo c noo 2007 sa pandaigdigang laro ng ragbi sa parc des princes,",
"Paris,",NN.* PM.*,NNP PMC,"paris,",
France.,NN.* PM.*,NNP PMP,france.,
Si Andrea Masi ang nagsimula na makapuntos sa Italya sa ika-apat na minuto ng laro.,DT.* NN.* NN.* DT.* VB.* CC.* VB.* CC.* NN.* CC.* JJ.* PM.* JJ.* CC.* NN.* CC.* NN.* PM.*,DTP NNP NNP DTC VBTS CCP VBW CCT NNP CCT JJN PMS JJN CCP NNC CCB NNC PMP,si andrea masi ang simula na puntos sa italya sa apat na minuto ng laro.,
"Sa kabila ng pagmamanipula sa unang kalahati ng laro,",CC.* CC.* CC.* NN.* CC.* JJ.*_CC.* NN.* CC.* NN.* PM.*,CCT CCT CCB NNC CCT JJN_CCP NNC CCB NNC PMC,"sa kabila ng manipula sa una kalahati ng laro,",
hindi nakapuntos ang pagsubok ng Italya bago ang pagitan ng laban pero si David Bortolussi ay sumipa ng tatlong penalti para mapatagal ang kanilang lamang.,RB.* VB.* DT.* NN.* CC.* NN.* RB.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* JJ.*_CC.* NN.* CC.* VB.* DT.* PR.*_CC.* RB.* PM.*,RBF VBTS DTC NNC CCB NNP RBW DTC NNC CCB NNC CCT DTP NNP NNP LM VBAF CCB JJN_CCP NNC CCT VBW DTC PRSP_CCP RBI PMP,hindi puntos ang subok ng italya bago ang pagitan ng laban pero si david bortolussi ay sipa ng tatlong penalti para tagal ang kanila lamang.,
"Hindi sumuko ang Portugal at si David Penalva ay sinubukang makapuntos sa ika-33 minuto,",RB.* VB.* DT.* NN.* CC.* DT.* NN.* NN.* LM RB.*_CC.* VB.* CC.* JJ.* PM.* CD.* NN.* PM.*,RBF VBAF DTC NNP CCA DTP NNP NNP LM RBD_CCP VBW CCT JJN PMS CDB NNC PMC,"hindi suko ang portugal at si david penalva ay sinubukang puntos sa ika-33 minuto,",
at siya lang ang tanging nakapagbigay ng puntos sa laban.,CC.* PR.* RB.* DT.* JJ.*_CC.* RB.* CC.* NN.* CC.* NN.* PM.*,CCA PRS RBI DTC JJD_CCP RBD CCB NNC CCT NNC PMP,at siya lang ang tangi bigay ng puntos sa laban.,
Nanguna ang Italya sa puntos na 16-5 sa kalagitnaan ng laro pero lumaban din ang Portugal sa halos hanggang matapos ang laban.,VB.* DT.* NN.* CC.* NN.* CC.* CD.* PM.* CD.* CC.* NN.* CC.* NN.* CC.* VB.* RB.* DT.* NN.* CC.* JJ.* RB.* VB.* DT.* NN.* PM.*,VBTS DTC NNP CCT NNC CCP CDB PMS CDB CCT NNC CCB NNC CCT VBAF RBI DTC NNP CCT JJD RBW VBW DTC NNC PMP,nanguna ang italya sa puntos na 16-5 sa kalagitnaan ng laro pero lab din ang portugal sa halos hanggang tapos ang laban.,
"Gayunpaman,",CC.* PM.*,CCB PMC,"gayunpaman,",
"si Bortolussi ay nakapuntos sa kanyang pang-apat na penalti sa laro,",DT.* NN.* LM VB.* CC.* PR.*_CC.* RB.*_CC.* PM.* CD.* CC.* NN.* CC.* NN.* PM.*,DTP NNP LM VBTS CCT PRSP_CCP RBI_CCP PMS CDB CCP NNC CCT NNC PMC,"si bortolussi ay puntos sa kanya apat na penalti sa laro,",
na sinundan ng mga pagsubok mula kay Mauro Bergamasco at isang pangalawa mula kay Andrea Masi na nagtapos sa panalo ng Italya.,CC.* VB.* CC.* DT.* NN.* RB.* DT.* NN.* NN.* CC.* PR.*_CC.* JJ.* RB.* DT.* NN.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* PM.*,CCP VBOF CCB DTCP NNC RBL DTP NNP NNP CCA PRI_CCP JJN RBW DTP NNP NNP CCP VBTS CCT NNC CCB NNP PMP,na sinundan ng mga subok mula kay mauro bergamasco at isa dalawa mula kay andrea masi na tapos sa panalo ng italya.,
"Kasalukuyang pangatlong pwesto sa Grupong C na may puntos na walo,",RB.*_CC.* JJ.*_CC.* NN.* CC.* NN.*_CC.* NN.* CC.* VB.* NN.* CC.* JJ.* PM.*,RBW_CCP JJN_CCP NNC CCT NNP_CCP NNP CCP VBH NNC CCP JJN PMC,"kasalukuyang tatlo pwesto sa grupo c na may puntos na walo,",
hinarap ng Italya ang isang malakas na laban sa pumapangalawang Scotland noong ika-29 ng Setyembre.,VB.*_VB.* CC.* NN.* DT.* PR.*_CC.* JJ.* CC.* NN.* CC.* VB.*_VB.*_CC.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,VBTS_VBOF CCB NNP DTC PRI_CCP JJD CCP NNC CCT VBTR_VBAF_CCP NNP RBW_CCP JJN PMS CDB CCB NNP PMP,harap ng italya ang isa lakas na laban sa kalawang scotland noo ika-29 ng setyembre.,
